,K,m,M,T,SC,s,P,X
Standard Guys,1,1,1,1,,1,3,3
1.6 Ton Tirfor,1,1,1,1,,1,3,3
3.2 Ton Tirfor,1,1,1,1,,1,3,3
66M Pole lift Cable,1,1,1,1,,1,3,3
18M Balering Cable,1,1,1,1,,1,3,3
12.1M Stretcher (white),2,2,2,4,2,2,2,2
Guy extns (Blue),2,0,0,0,,0,0,0
Balering cables (Red),0,0,0,0,,0,4,4
Balering cable extns 1M,0,0,0,0,,0,0,4
Radial Guys (Black rope or red sleeve),0,0,0,6,,0,0,0
14.75M Stretchers (Green),0,0,0,0,0,0,1,1
Walls (M),75,30,40,0,0,55,0,0
stakes,60,25,30,25,20,40,0,0
Sidepole,30,12,16,3,1,18,0,0
Ratchets,50,20,25,20,10,35,0,0
Balerings,1,2,2,3,1,1,0,0
Caps,1,2,2,3,1,1,0,2
X Base Plates,0,0,0,0,,0,0,2
X Hinges,0,0,0,0,,0,0,2
P Base Plate,0,0,0,0,,0,2,0
P Hinges,0,0,0,0,,0,2,0
Baseplate Stakes,0,0,0,0,,0,8,8
Flag & Pole,0,0,0,0,,0,2,2
Stage Cover Rigging box,,,,,1,,,
